,City,Country,Lat,Lng,Hotel Name
389,katsuura,JP,35.13,140.3,Splash Guest House
390,vodnyy,RU,63.5,53.41,
391,husavik,IS,66.04,-17.34,Fosshotel Húsavík
392,lisakovsk,KZ,52.54,62.49,"Gostinitsa ""Oolit"""
393,aitape,PG,-3.14,142.35,
394,moose factory,US,43.66,-110.72,
395,florida,US,28.75,-82.5,
396,pitimbu,BR,-7.47,-34.81,Pousada O Nativo
397,kattivakkam,IN,13.22,80.32,
398,clyde river,US,41.3,-82.98,Red Roof Inn Clyde
399,cherskiy,RU,68.75,161.3,Sberbank
400,luderitz,,-26.65,15.16,LÜDERITZ NEST HOTEL
401,urucara,BR,-2.54,-57.76,Hotel Eldorado
402,saurimo,AO,-9.66,20.39,Resort Uhenha
403,severnyy,RU,50.68,36.55,Hotel VOYAGE
404,fort saint james,NL,52.65,6.39,Hotel Restaurant Ter Linde
405,arucas,ES,28.12,-15.52,Hotel Melva Suite
406,victoria,HK,22.29,114.16,Renaissance Hong Kong Harbour View Hotel
407,coromandel,BR,-18.47,-47.2,Diamante Rosa Palace Hotel
408,hokitika,NZ,-42.72,170.97,Beachfront Hotel Hokitika
409,areia branca,BR,-6.96,-35.69,Hotel Fazenda Triunfo
410,danilovka,RU,50.36,44.12,Lukoil
411,mountain home,CO,13.37,-81.37,Deep Blue
412,oussouye,SN,12.48,-16.55,
413,iskateley,RU,67.68,53.15,"""Avantage"" hotel"
414,serdobsk,RU,52.46,44.22,Devyatochka
415,sukumo,JP,32.93,132.73,Hotel Avan Sukumo
416,isla mujeres,PH,15.89,120.3,
417,shingu,JP,33.73,135.98,Hotel New Palace
418,botwood,CA,49.15,-55.35,The Oasis Motel
419,cockburn town,AU,-32.08,141.0,Coburn Hotel
420,rajakhera,IN,26.9,78.17,
421,tucumcari,US,35.17,-103.72,Fairfield Inn & Suites by Marriott Tucumcari
422,huanren,CN,41.26,125.37,Zhengfang Hotel （West Gate）
423,richards bay,US,46.84,-95.91,Fairfield Inn & Suites by Marriott Detroit Lakes
424,rjukan,NO,59.88,8.59,Park Hotell Rjukan
425,upata,VE,8.01,-62.4,Hotel Andrea
426,surt,LY,31.21,16.59,Salam Hotel
427,comodoro rivadavia,BR,-13.66,-59.79,Rossi Hotel
428,boca do acre,IT,45.68,8.41,La Dolce Vita
429,salekhard,RU,66.53,66.6,Hotel Arktika
430,salvador,SV,13.83,-88.92,
431,mariental,,-24.63,17.97,Boutique Guesthouse Mariental
432,yumen,CN,40.28,97.2,
433,ostrovnoy,RU,68.05,39.51,
434,corumba,BR,-19.01,-57.65,Nacional Palace Hotel
435,pahrump,US,36.21,-115.98,Pahrump Nugget
436,sorata,BO,-15.77,-68.63,Altai Oasis Eco lodge
437,alice springs,US,27.75,-98.07,Hampton Inn Alice
